timestamp,latitude,longitude,altitude,speed,battery,mission
1763729295558,nan,nan,nan,0,nan,None
1763729295758,47.3979,8.54616,-0.011,0.01,100,None
1763729295958,47.3979,8.54616,-0.01,0.01,100,None
1763729296158,47.3979,8.54616,-0.01,0.01,100,None
1763729296359,47.3979,8.54616,-0.01,0.01,100,None
1763729296559,47.3979,8.54616,-0.009,0.01,100,None
1763729296759,47.3979,8.54616,-0.008,0.01,100,None
1763729296959,47.3979,8.54616,-0.007,0.01,100,None
1763729297159,47.3979,8.54616,-0.006,0.01,100,None
1763729297359,47.3979,8.54616,-0.007,0.01,100,None
1763729297559,47.3979,8.54616,-0.008,0.01,100,None
1763729297760,47.3979,8.54616,-0.009,0.01,100,None
1763729297960,47.3979,8.54616,-0.009,0.01,100,None
1763729298160,47.3979,8.54616,-0.009,0.01,100,None
1763729298360,47.3979,8.54616,-0.009,0.01,100,None
1763729298560,47.3979,8.54616,-0.008,0.0141421,100,None
1763729298760,47.3979,8.54616,-0.006,0.01,100,None
1763729298960,47.3979,8.54616,-0.003,0,100,None
1763729299160,47.3979,8.54616,0.001,0,100,None
1763729299361,47.3979,8.54616,0.006,0,100,None
1763729299561,47.3979,8.54616,0.01,0,100,None
1763729299761,47.3979,8.54616,0.012,0,100,None
1763729299961,47.3979,8.54616,0.015,0,100,None
1763729300161,47.3979,8.54616,0.019,0,100,None
1763729300361,47.3979,8.54616,0,0,100,None
1763729300561,47.3979,8.54616,0.003,0,100,None
1763729300761,47.3979,8.54616,0.005,0,100,None
1763729300962,47.3979,8.54616,0.008,0,100,None
1763729301162,47.3979,8.54616,0.009,0,100,None
1763729301362,47.3979,8.54616,0.007,0,100,None
1763729301562,47.3979,8.54616,0.005,0.01,100,None
1763729301762,47.3979,8.54616,0.003,0.01,100,None
1763729301962,47.3979,8.54616,0.001,0.01,100,None
1763729302162,47.3979,8.54616,0,0.01,100,None
1763729302362,47.3979,8.54616,-0.001,0.02,100,None
1763729302562,47.3979,8.54616,-0.001,0.02,100,None
1763729302763,47.3979,8.54616,0,0.01,98,None
1763729302963,47.3979,8.54616,0,0.01,98,None
1763729303163,47.3979,8.54616,-0.001,0.01,98,None
1763729303363,47.3979,8.54616,-0.003,0.0141421,98,None
1763729303563,47.3979,8.54616,-0.004,0.01,98,None
1763729303763,47.3979,8.54616,-0.005,0.01,98,None
1763729303963,47.3979,8.54616,-0.006,0.01,98,None
1763729304163,47.3979,8.54616,-0.006,0,98,None
1763729304364,47.3979,8.54616,-0.006,0,98,None
1763729304564,47.3979,8.54616,-0.006,0,98,None
1763729304764,47.3979,8.54616,-0.004,0.0538516,94,None
1763729304964,47.3979,8.54616,0.021,0.209762,94,None
1763729305164,47.3979,8.54616,0.081,0.392556,94,None
1763729305364,47.3979,8.54616,0.179,0.570263,94,None
1763729305564,47.3979,8.54616,0.318,0.736614,94,None
1763729305764,47.3979,8.54616,0.494,0.902497,94,None
1763729305964,47.3979,8.54616,0.686,1.03049,94,None
1763729306165,47.3979,8.54616,0.907,1.05,94,None
1763729306365,47.3979,8.54616,1.13,1.09018,94,None
1763729306565,47.3979,8.54616,1.347,1.13075,94,None
1763729306765,47.3979,8.54616,1.58,1.17111,91,None
1763729306965,47.3979,8.54616,1.82,1.20108,91,None
1763729307165,47.3979,8.54616,2.067,1.24105,91,None
1763729307365,47.3979,8.54616,2.318,1.26079,91,None
1763729307565,47.3979,8.54616,2.575,1.2905,91,None
1763729307766,47.3979,8.54616,2.835,1.31031,91,None
1763729307966,47.3979,8.54616,3.099,1.33008,91,None
1763729308166,47.3979,8.54616,3.369,1.35007,91,None
1763729308366,47.3979,8.54616,3.643,1.37018,91,None
1763729308566,47.3979,8.54616,3.921,1.39018,91,None
1763729308766,47.3979,8.54616,4.201,1.40018,88,None
1763729308966,47.3979,8.54616,4.459,1.41014,88,None
1763729309166,47.3979,8.54616,4.739,1.42014,88,None
1763729309367,47.3979,8.54616,5.021,1.43003,88,None
1763729309567,47.3979,8.54616,5.306,1.44003,88,None
1763729309767,47.3979,8.54616,5.595,1.45,88,None
1763729309967,47.3979,8.54616,5.886,1.46,88,None
1763729310167,47.3979,8.54616,6.179,1.46003,88,None
1763729310367,47.3979,8.54616,6.473,1.47014,88,None
1763729310567,47.3979,8.54616,6.767,1.47014,88,None
1763729310767,47.3979,8.54616,7.059,1.48034,85,None
1763729310967,47.3979,8.54616,7.351,1.48017,85,None
1763729311168,47.3979,8.54616,7.643,1.48027,85,None
1763729311368,47.3979,8.54616,7.936,1.49017,85,None
1763729311568,47.3979,8.54616,8.229,1.49013,85,None
1763729311768,47.3979,8.54616,8.524,1.49013,85,None
1763729311968,47.3979,8.54616,8.818,1.49003,85,None
1763729312168,47.3979,8.54616,9.114,1.5,85,None
1763729312368,47.3979,8.54616,9.411,1.5,85,None
1763729312568,47.3979,8.54616,9.707,1.42004,85,None
1763729312769,47.3979,8.54616,9.948,1.32008,81,None
1763729312969,47.3979,8.54616,10.202,1.19021,81,None
1763729313169,47.3979,8.54616,10.411,0.890112,81,None
1763729313369,47.3979,8.54616,10.558,0.690145,81,None
1763729313569,47.3979,8.54616,10.682,0.630079,81,None
1763729313769,47.3979,8.54616,10.802,0.61,81,None
1763729313969,47.3979,8.54616,10.918,0.570088,81,None
1763729314169,47.3979,8.54616,11.026,0.520192,81,None
1763729314369,47.3979,8.54616,11.124,0.470213,81,None
1763729314570,47.3979,8.54616,11.213,0.420238,81,None
1763729314770,47.3979,8.54616,11.292,0.380132,78,None
1763729314970,47.3979,8.54616,11.362,0.340147,78,None
1763729315170,47.3979,8.54616,11.425,0.3,78,None
1763729315370,47.3979,8.54616,11.482,0.27,78,None
1763729315570,47.3979,8.54616,11.533,0.25,78,None
1763729315770,47.3979,8.54616,11.579,0.220227,78,None
1763729315970,47.3979,8.54616,11.622,0.20025,78,None
1763729316171,47.3979,8.54616,11.655,0.180555,78,None
1763729316371,47.3979,8.54616,11.686,0.160624,78,None
1763729316571,47.3979,8.54616,11.715,0.150665,78,None
1763729316771,47.3979,8.54616,11.741,0.140712,75,None
1763729316971,47.3979,8.54616,11.766,0.130384,75,None
1763729317171,47.3979,8.54616,11.79,0.110454,75,None
1763729317371,47.3979,8.54616,11.811,0.100499,75,None
1763729317571,47.3979,8.54616,11.833,0.0905538,75,None
1763729317771,47.3979,8.54616,11.851,0.0806226,75,None
1763729317971,47.3979,8.54616,11.867,0.0714143,75,None
1763729318172,47.3979,8.54616,11.881,0.0663325,75,None
1763729318372,47.3979,8.54616,11.895,0.0574456,75,None
1763729318572,47.3979,8.54616,11.909,0.0509902,75,None
1763729318772,47.3979,8.54616,11.92,0.05,71,None
1763729318972,47.3979,8.54616,11.927,0.0424264,71,None
